Method,trial_num,Bounds,Dimensions,Samples,Iterations,Function,Fitness_Value,Run_Time_Sec
HDS,0,"[(-100, 100)]",100,1000,100,F172017,4650691.4515707465,19.90898108482361
Sobol,0,"[(-100, 100)]",10,1000,100,F162017,1654.6773310738192,41.36093306541443
Sobol,0,"[(-100, 100)]",30,1000,100,F172017,147870.3556995471,18.64588093757629
Sobol,0,"[(-100, 100)]",50,1000,100,F172017,1263574.7397774064,18.46792817115784
Sobol,0,"[(-100, 100)]",100,1000,100,F152017,266345.0561110613,47.15729308128357
HDS,0,"[(-100, 100)]",10,1000,100,F182017,1809.9682503978688,18.995012998580933
Sobol,0,"[(-100, 100)]",100,1000,100,F172017,8348294.876736409,19.27261209487915
HDS,0,"[(-100, 100)]",50,1000,100,F162017,38775663.80353618,108.19601488113403
Sobol,0,"[(-100, 100)]",10,1000,100,F182017,1810.8769758645883,19.544028282165527
HDS,0,"[(-100, 100)]",30,1000,100,F182017,242283.05348832716,42.61441993713379
HDS,0,"[(-100, 100)]",10,1000,100,F192017,1843.818770092999,40.25192499160767
HDS,0,"[(-100, 100)]",50,1000,100,F182017,6606557.901137295,56.14804410934448
Sobol,0,"[(-100, 100)]",30,1000,100,F162017,85524.92178421347,74.27855372428894
Sobol,0,"[(-100, 100)]",30,1000,100,F182017,842024.230367193,41.915525913238525
Sobol,0,"[(-100, 100)]",10,1000,100,F192017,1849.0921690827156,39.65544509887695
HDS,0,"[(-100, 100)]",100,1000,100,F182017,3032048109.3612785,92.41711378097534
HDS,0,"[(-100, 100)]",10,1000,100,F202017,2142.2333941748448,9.424059867858888
HDS,0,"[(-100, 100)]",30,1000,100,F192017,2149.492506641329,75.47624278068542
Sobol,0,"[(-100, 100)]",10,1000,100,F202017,2142.276505736341,6.775487899780273
HDS,0,"[(-100, 100)]",100,1000,100,F162017,76042601647.43219,190.4195508956909
Sobol,0,"[(-100, 100)]",50,1000,100,F182017,9530878.614700112,55.81390905380249
Sobol,0,"[(-100, 100)]",50,1000,100,F162017,1116060.691470205,107.53160881996156
HDS,0,"[(-100, 100)]",30,1000,100,F202017,2423.0678506065656,22.629873991012573
HDS,0,"[(-100, 100)]",50,1000,100,F202017,4396.980220472446,22.550981283187863
Sobol,0,"[(-100, 100)]",30,1000,100,F202017,2615.0558726356694,22.56720805168152
Sobol,0,"[(-100, 100)]",50,1000,100,F202017,4419.912264580549,21.950746059417725
HDS,0,"[(-100, 100)]",100,1000,100,F202017,33887.656848214174,25.321651935577396
HDS,0,"[(-100, 100)]",10,1000,100,F212017,2215.242344525489,3.231220006942749
Sobol,0,"[(-100, 100)]",10,1000,100,F212017,2216.761605896396,3.317359685897827
HDS,0,"[(-100, 100)]",50,1000,100,F192017,3244.879778079944,111.2456352710724
Sobol,0,"[(-100, 100)]",100,1000,100,F202017,34694.72434392902,24.389063835144043
HDS,0,"[(-100, 100)]",30,1000,100,F212017,2321.913035583509,26.59857416152954
Sobol,0,"[(-100, 100)]",30,1000,100,F192017,2372.6120871835715,76.79288697242737
HDS,0,"[(-100, 100)]",50,1000,100,F212017,2448.4120712360136,27.40753507614136
Sobol,0,"[(-100, 100)]",100,1000,100,F182017,563334792.849776,92.66616320610046
HDS,0,"[(-100, 100)]",10,1000,100,F22017,204.740171677212,14.857266902923584
HDS,0,"[(-100, 100)]",30,1000,100,F22017,19868.332519033225,14.19390106201172
Sobol,0,"[(-100, 100)]",30,1000,100,F212017,2297.8340878485683,25.921606063842773
HDS,0,"[(-100, 100)]",100,1000,100,F212017,3337.7232056844605,29.70751690864563
Sobol,0,"[(-100, 100)]",10,1000,100,F22017,200.348518930959,13.246803998947144
Sobol,0,"[(-100, 100)]",50,1000,100,F212017,2490.694741320656,26.97962212562561
Sobol,0,"[(-100, 100)]",30,1000,100,F22017,16203.24105485891,13.656167030334473
HDS,0,"[(-100, 100)]",50,1000,100,F22017,59259.18236089218,14.261438131332396
HDS,0,"[(-100, 100)]",10,1000,100,F222017,2364.9422253464595,9.3607759475708
HDS,0,"[(-100, 100)]",100,1000,100,F22017,299026.4053929431,16.59877896308899
Sobol,0,"[(-100, 100)]",10,1000,100,F222017,2374.2380576082323,9.74688196182251
Sobol,0,"[(-100, 100)]",50,1000,100,F22017,62577.835441291805,14.139425992965698
Sobol,0,"[(-100, 100)]",100,1000,100,F212017,3609.955166665647,28.57814884185791
Sobol,0,"[(-100, 100)]",100,1000,100,F22017,272350.89148571674,15.445630073547363
HDS,0,"[(-100, 100)]",30,1000,100,F222017,3162.830379681472,29.371934175491333
HDS,0,"[(-100, 100)]",10,1000,100,F232017,2546.057960889266,9.143609046936035
Sobol,0,"[(-100, 100)]",10,1000,100,F232017,2540.0772047417804,9.347784042358398
HDS,0,"[(-100, 100)]",50,1000,100,F222017,9220.850767071926,32.05916714668274
HDS,0,"[(-100, 100)]",30,1000,100,F232017,3234.935826996489,25.08308219909668
HDS,0,"[(-100, 100)]",100,1000,100,F222017,30959.519321723103,33.308977127075195
Sobol,0,"[(-100, 100)]",30,1000,100,F222017,2813.374966473185,29.919809818267822
HDS,0,"[(-100, 100)]",100,1000,100,F192017,3885.1059042806105,202.66534090042117
HDS,0,"[(-100, 100)]",50,1000,100,F232017,6198.394956085427,25.573405742645264
Sobol,0,"[(-100, 100)]",50,1000,100,F192017,2566.6729176660915,113.56719994544984
Sobol,0,"[(-100, 100)]",30,1000,100,F232017,2939.681945504803,24.35757303237915
Sobol,0,"[(-100, 100)]",50,1000,100,F222017,10578.829551265528,30.501708030700684
HDS,0,"[(-100, 100)]",10,1000,100,F242017,2892.2262894469445,12.220556735992432
Sobol,0,"[(-100, 100)]",100,1000,100,F222017,33386.98284209063,31.88214087486267
Sobol,0,"[(-100, 100)]",10,1000,100,F242017,2913.4974740883263,6.253977060317993
HDS,0,"[(-100, 100)]",100,1000,100,F232017,38048.13744691307,28.213622093200684
Sobol,0,"[(-100, 100)]",100,1000,100,F162017,239738241712.9217,197.117692232132
Sobol,0,"[(-100, 100)]",50,1000,100,F232017,6152.369467081038,25.29258394241333
HDS,0,"[(-100, 100)]",10,1000,100,F252017,2965.8174563084144,14.014972925186155
HDS,0,"[(-100, 100)]",30,1000,100,F242017,2878.7195088297794,26.15504288673401
HDS,0,"[(-100, 100)]",50,1000,100,F242017,4598.921165101794,28.63876891136169
Sobol,0,"[(-100, 100)]",100,1000,100,F232017,43043.2097680928,27.59353494644165
Sobol,0,"[(-100, 100)]",10,1000,100,F252017,2508.334074229035,16.00011396408081
HDS,0,"[(-100, 100)]",100,1000,100,F242017,8288.937560869843,31.328528881073
Sobol,0,"[(-100, 100)]",30,1000,100,F242017,2875.234950272271,24.952843189239506
Sobol,0,"[(-100, 100)]",50,1000,100,F242017,4013.7926727532704,27.04626703262329
Sobol,0,"[(-100, 100)]",100,1000,100,F242017,6053.51876854229,29.577430963516235
HDS,0,"[(-100, 100)]",30,1000,100,F252017,3420.2281322822264,72.16800618171692
HDS,0,"[(-100, 100)]",10,1000,100,F262017,2573.794633969877,46.79720401763916
Sobol,0,"[(-100, 100)]",10,1000,100,F262017,2999.376719584575,13.12213373184204
HDS,0,"[(-100, 100)]",10,1000,100,F272017,2830.608392781268,9.50711178779602
HDS,0,"[(-100, 100)]",50,1000,100,F252017,5182.023083080745,98.89546275138856
Sobol,0,"[(-100, 100)]",10,1000,100,F272017,2835.8862942936084,10.152774810791016
HDS,0,"[(-100, 100)]",30,1000,100,F262017,3203.300024166965,72.08791494369507
Sobol,0,"[(-100, 100)]",30,1000,100,F252017,3444.377887655109,71.20496678352356
HDS,0,"[(-100, 100)]",50,1000,100,F262017,3584.6299212629283,100.23236417770386
HDS,0,"[(-100, 100)]",30,1000,100,F272017,2895.743938834001,47.55351996421814
Sobol,0,"[(-100, 100)]",100,1000,100,F192017,4914.183242994287,205.8194501399994
Sobol,0,"[(-100, 100)]",30,1000,100,F262017,3190.358402632485,72.77765727043152
HDS,0,"[(-100, 100)]",100,1000,100,F252017,18905.1006882298,163.74476885795593
Sobol,0,"[(-100, 100)]",50,1000,100,F252017,4903.239282865297,97.5059778690338
Sobol,0,"[(-100, 100)]",30,1000,100,F272017,2890.2869437577165,61.63692212104797
HDS,0,"[(-100, 100)]",100,1000,100,F262017,5089.986196632357,165.5637412071228
HDS,0,"[(-100, 100)]",50,1000,100,F272017,3209.317025513124,94.77003002166748
Sobol,0,"[(-100, 100)]",50,1000,100,F262017,3727.9839217564886,99.52229189872742
HDS,0,"[(-100, 100)]",10,1000,100,F282017,4065.6628502929634,63.95914888381958
HDS,0,"[(-100, 100)]",30,1000,100,F282017,37644999.26799987,104.52997016906738
Sobol,0,"[(-100, 100)]",10,1000,100,F282017,4121.714975863884,62.786110162734985
Sobol,0,"[(-100, 100)]",50,1000,100,F272017,3243.8690057613967,87.04888677597046
HDS,0,"[(-100, 100)]",100,1000,100,F272017,5719.775416901712,159.2958791255951
Sobol,0,"[(-100, 100)]",100,1000,100,F252017,20406.125136324063,161.7412872314453
HDS,0,"[(-100, 100)]",10,1000,100,F292017,,44.21606802940369
HDS,0,"[(-100, 100)]",50,1000,100,F282017,407137221.9034117,147.50599694252014
HDS,0,"[(-100, 100)]",30,1000,100,F292017,6304904.670989426,59.605063915252686
Sobol,0,"[(-100, 100)]",100,1000,100,F262017,5267.846436866648,163.09791588783264
Sobol,0,"[(-100, 100)]",10,1000,100,F292017,,44.3931052684784
HDS,0,"[(-100, 100)]",10,1000,100,F32017,304.1125992859593,6.465587854385376
Sobol,0,"[(-100, 100)]",30,1000,100,F282017,16477941.973728271,103.43452596664427
Sobol,0,"[(-100, 100)]",10,1000,100,F32017,309.3489164000399,5.738904714584351
HDS,0,"[(-100, 100)]",30,1000,100,F32017,395.77655532257984,15.326237916946411
HDS,0,"[(-100, 100)]",50,1000,100,F32017,1212.4043124174195,15.287786960601808
HDS,0,"[(-100, 100)]",50,1000,100,F292017,709469515.9589907,76.22475981712341
Sobol,0,"[(-100, 100)]",30,1000,100,F32017,418.7905861122944,14.920050144195557
Sobol,0,"[(-100, 100)]",50,1000,100,F32017,899.3204536023669,14.874022245407104
Sobol,0,"[(-100, 100)]",30,1000,100,F292017,13002157.830621732,59.33511519432068
HDS,0,"[(-100, 100)]",100,1000,100,F32017,4210.967910571575,16.462990045547485
HDS,0,"[(-100, 100)]",10,1000,100,F42017,428.50515972629233,14.14752197265625
HDS,0,"[(-100, 100)]",30,1000,100,F42017,703.2825711483267,14.41003704071045
Sobol,0,"[(-100, 100)]",100,1000,100,F32017,4625.3004608830615,15.337496995925903
Sobol,0,"[(-100, 100)]",10,1000,100,F42017,432.6251328343604,14.305905103683472
Sobol,0,"[(-100, 100)]",30,1000,100,F42017,844.0894480709231,14.260523080825806
HDS,0,"[(-100, 100)]",10,1000,100,F52017,500.0068815898957,0.3944249153137207
Sobol,0,"[(-100, 100)]",10,1000,100,F52017,500.00705871261255,0.1852409839630127
HDS,0,"[(-100, 100)]",30,1000,100,F52017,500.0531912819093,0.6432909965515137
Sobol,0,"[(-100, 100)]",30,1000,100,F52017,500.0464648234901,0.2952051162719726
HDS,0,"[(-100, 100)]",50,1000,100,F52017,500.0510433521383,0.8831238746643066
Sobol,0,"[(-100, 100)]",50,1000,100,F52017,500.0887262606181,0.4126710891723633
HDS,0,"[(-100, 100)]",100,1000,100,F52017,500.1048687293763,1.8868720531463623
Sobol,0,"[(-100, 100)]",100,1000,100,F52017,500.1041209297655,0.6470811367034912
HDS,0,"[(-100, 100)]",50,1000,100,F42017,2779.9456982684187,15.105774164199827
HDS,0,"[(-100, 100)]",100,1000,100,F42017,51872.09108012121,17.08187699317932
HDS,0,"[(-100, 100)]",10,1000,100,F62017,632.3619628281908,15.935296058654783
HDS,0,"[(-100, 100)]",100,1000,100,F282017,21744421133.6314,250.19724011421204
Sobol,0,"[(-100, 100)]",50,1000,100,F42017,1601.9140097681595,14.51018476486206
HDS,0,"[(-100, 100)]",100,1000,100,F292017,5627208809.958501,113.95878195762634
Sobol,0,"[(-100, 100)]",100,1000,100,F272017,4154.462822174632,158.890056848526
Sobol,0,"[(-100, 100)]",100,1000,100,F42017,48586.90694678821,15.80107593536377
Sobol,0,"[(-100, 100)]",50,1000,100,F292017,1997280923.3534288,74.79523921012878
