Method,trial_num,Bounds,Dimensions,Samples,Iterations,Function,Fitness_Value,Run_Time_Sec
HDS,6,"[(-100, 100)]",100,1000,100,F182017,251043534.3010296,98.5955011844635
HDS,6,"[(-100, 100)]",10,1000,100,F202017,2140.728217654158,9.766990900039673
HDS,6,"[(-100, 100)]",30,1000,100,F192017,3473.883854058199,80.2158842086792
Sobol,6,"[(-100, 100)]",10,1000,100,F202017,2137.9668102097203,8.229707956314087
Sobol,6,"[(-100, 100)]",50,1000,100,F182017,1475304.9215042184,61.01993107795715
HDS,6,"[(-100, 100)]",100,1000,100,F162017,10648132788.60381,208.15211415290835
Sobol,6,"[(-100, 100)]",50,1000,100,F162017,38671261.4275692,116.57532739639282
HDS,6,"[(-100, 100)]",30,1000,100,F202017,2456.299891354607,25.778372049331665
HDS,6,"[(-100, 100)]",50,1000,100,F202017,3809.293810712829,24.784969806671143
Sobol,6,"[(-100, 100)]",30,1000,100,F202017,2342.483524667491,23.070549964904785
HDS,6,"[(-100, 100)]",100,1000,100,F202017,42010.294890622,25.942948818206787
Sobol,6,"[(-100, 100)]",50,1000,100,F202017,4474.855203240926,23.16878890991211
HDS,6,"[(-100, 100)]",50,1000,100,F192017,2773.745523201927,118.19011616706848
Sobol,6,"[(-100, 100)]",100,1000,100,F202017,48438.47323765323,24.37995386123657
HDS,6,"[(-100, 100)]",10,1000,100,F212017,1436.7159518718945,26.675811767578125
Sobol,6,"[(-100, 100)]",30,1000,100,F192017,2599.8023666694244,82.71031618118286
Sobol,6,"[(-100, 100)]",10,1000,100,F212017,2216.7755126888283,3.326146125793457
HDS,6,"[(-100, 100)]",30,1000,100,F212017,2372.9996160494084,28.29325008392334
Sobol,6,"[(-100, 100)]",100,1000,100,F182017,422779761.4200547,100.72012186050416
HDS,6,"[(-100, 100)]",10,1000,100,F22017,200.28300187645291,13.324674129486084
HDS,6,"[(-100, 100)]",50,1000,100,F212017,2637.981641579884,28.226255178451535
HDS,6,"[(-100, 100)]",30,1000,100,F22017,17099.839816430995,15.217756032943726
Sobol,6,"[(-100, 100)]",10,1000,100,F22017,200.5108161277709,13.849533796310425
HDS,6,"[(-100, 100)]",100,1000,100,F212017,3163.7020034549187,29.946424961090088
Sobol,6,"[(-100, 100)]",30,1000,100,F212017,2319.2966659984654,27.686439275741577
Sobol,6,"[(-100, 100)]",30,1000,100,F22017,22634.4719083496,15.100481986999512
HDS,6,"[(-100, 100)]",50,1000,100,F22017,73400.69557229498,14.801447868347168
HDS,6,"[(-100, 100)]",100,1000,100,F22017,212618.9150455744,15.726087093353271
Sobol,6,"[(-100, 100)]",50,1000,100,F212017,2582.7607327812884,27.74377703666687
HDS,6,"[(-100, 100)]",10,1000,100,F222017,2372.392401163505,11.411700010299684
Sobol,6,"[(-100, 100)]",50,1000,100,F22017,91142.48598578337,14.163264036178589
Sobol,6,"[(-100, 100)]",100,1000,100,F212017,3270.0998296290727,29.316925048828125
Sobol,6,"[(-100, 100)]",10,1000,100,F222017,2365.3038459022973,10.697055339813232
Sobol,6,"[(-100, 100)]",100,1000,100,F22017,279569.1717728056,14.631319999694824
HDS,6,"[(-100, 100)]",10,1000,100,F232017,2543.0579320990746,9.251573085784912
HDS,6,"[(-100, 100)]",30,1000,100,F222017,3124.624813224197,29.526390075683597
Sobol,6,"[(-100, 100)]",10,1000,100,F232017,2544.3328499524905,10.32551097869873
HDS,6,"[(-100, 100)]",50,1000,100,F222017,4654.839922049276,30.991833925247192
HDS,6,"[(-100, 100)]",30,1000,100,F232017,2892.551926799196,25.276916980743408
HDS,6,"[(-100, 100)]",100,1000,100,F222017,21459.07217416345,33.229651927948
Sobol,6,"[(-100, 100)]",50,1000,100,F192017,3049.663946611605,112.4325098991394
HDS,6,"[(-100, 100)]",100,1000,100,F192017,4905.33135086674,213.7332479953766
HDS,6,"[(-100, 100)]",50,1000,100,F232017,7678.76886117785,26.26574683189392
Sobol,6,"[(-100, 100)]",30,1000,100,F222017,3198.706263377722,28.99110412597656
Sobol,6,"[(-100, 100)]",30,1000,100,F232017,3084.650985360994,25.377398014068604
Sobol,6,"[(-100, 100)]",50,1000,100,F222017,11467.080323890965,29.7341148853302
HDS,6,"[(-100, 100)]",10,1000,100,F242017,2886.949363511492,10.482167959213257
Sobol,6,"[(-100, 100)]",100,1000,100,F222017,34152.394149505155,32.36122798919678
HDS,6,"[(-100, 100)]",100,1000,100,F232017,37591.1649071365,28.22440385818481
Sobol,6,"[(-100, 100)]",10,1000,100,F242017,2892.1162612533035,11.90398097038269
Sobol,6,"[(-100, 100)]",100,1000,100,F162017,981289920098.8378,204.14293813705444
Sobol,6,"[(-100, 100)]",50,1000,100,F232017,8151.27567707155,26.549243927001957
HDS,6,"[(-100, 100)]",30,1000,100,F242017,2858.0897937061613,24.109336853027344
HDS,6,"[(-100, 100)]",50,1000,100,F242017,4270.577063491449,28.797996044158936
HDS,6,"[(-100, 100)]",10,1000,100,F252017,2969.439149521562,17.145511865615845
Sobol,6,"[(-100, 100)]",100,1000,100,F232017,59152.56300325401,27.30748200416565
HDS,6,"[(-100, 100)]",100,1000,100,F242017,7461.4945746427775,31.148855686187744
Sobol,6,"[(-100, 100)]",10,1000,100,F252017,2963.60370973776,12.248515129089355
Sobol,6,"[(-100, 100)]",30,1000,100,F242017,2864.536791318877,27.22368311882019
Sobol,6,"[(-100, 100)]",50,1000,100,F242017,4262.170981288042,28.093456029891968
Sobol,6,"[(-100, 100)]",100,1000,100,F242017,6342.676654281797,29.40467476844788
HDS,6,"[(-100, 100)]",30,1000,100,F252017,3403.8753979315043,72.17329001426697
HDS,6,"[(-100, 100)]",10,1000,100,F262017,2621.3212814044027,47.340476989746094
Sobol,6,"[(-100, 100)]",10,1000,100,F262017,2950.958914075352,13.663173913955688
HDS,6,"[(-100, 100)]",50,1000,100,F252017,5019.959539414206,98.0716438293457
HDS,6,"[(-100, 100)]",10,1000,100,F272017,2828.937567877473,11.877647161483765
HDS,6,"[(-100, 100)]",30,1000,100,F262017,3255.412002856553,73.57806515693665
Sobol,6,"[(-100, 100)]",10,1000,100,F272017,2848.458371258538,9.567096948623655
HDS,6,"[(-100, 100)]",50,1000,100,F262017,3731.556902237112,99.86712503433228
Sobol,6,"[(-100, 100)]",30,1000,100,F252017,3383.7004063078275,70.55457615852356
HDS,6,"[(-100, 100)]",30,1000,100,F272017,2894.5572917705167,54.44276404380798
Sobol,6,"[(-100, 100)]",100,1000,100,F192017,6199.695273711312,207.8572120666504
Sobol,6,"[(-100, 100)]",30,1000,100,F262017,3252.13342279402,72.70262908935547
HDS,6,"[(-100, 100)]",100,1000,100,F252017,19791.261472887723,163.39707112312317
Sobol,6,"[(-100, 100)]",50,1000,100,F252017,4744.582315606664,97.80610370635986
HDS,6,"[(-100, 100)]",100,1000,100,F262017,4870.707855066577,164.7523169517517
Sobol,6,"[(-100, 100)]",30,1000,100,F272017,2944.974162217776,68.28647899627686
HDS,6,"[(-100, 100)]",50,1000,100,F272017,3336.232725171834,93.9025101661682
Sobol,6,"[(-100, 100)]",50,1000,100,F262017,3714.6020394211855,100.2663197517395
HDS,6,"[(-100, 100)]",10,1000,100,F282017,4080.277622529045,63.61278891563416
HDS,6,"[(-100, 100)]",30,1000,100,F282017,14301762.043331634,107.22328281402588
Sobol,6,"[(-100, 100)]",10,1000,100,F282017,4230.845224270077,63.73348093032837
Sobol,6,"[(-100, 100)]",50,1000,100,F272017,3242.8051602151054,94.0015230178833
HDS,6,"[(-100, 100)]",100,1000,100,F272017,4197.6024675881135,161.87504410743713
Sobol,6,"[(-100, 100)]",100,1000,100,F252017,17999.258839864902,163.5478811264038
HDS,6,"[(-100, 100)]",10,1000,100,F292017,,45.10804891586304
Sobol,6,"[(-100, 100)]",100,1000,100,F262017,5108.360876274004,165.71440291404724
HDS,6,"[(-100, 100)]",50,1000,100,F282017,466418994.4848187,147.06658625602722
HDS,6,"[(-100, 100)]",30,1000,100,F292017,22382197.988688607,61.1127359867096
Sobol,6,"[(-100, 100)]",10,1000,100,F292017,,45.583832025527954
HDS,6,"[(-100, 100)]",10,1000,100,F32017,304.1935353737481,6.250098943710327
Sobol,6,"[(-100, 100)]",10,1000,100,F32017,303.05836063022457,6.444316148757935
Sobol,6,"[(-100, 100)]",30,1000,100,F282017,2976041.186175863,107.20524287223816
HDS,6,"[(-100, 100)]",50,1000,100,F292017,1372313408.8819764,75.79162812232971
HDS,6,"[(-100, 100)]",30,1000,100,F32017,347.4914695693749,15.468599081039429
HDS,6,"[(-100, 100)]",50,1000,100,F32017,926.6833141978578,15.34865427017212
Sobol,6,"[(-100, 100)]",30,1000,100,F32017,361.8542498335781,14.474409818649292
Sobol,6,"[(-100, 100)]",50,1000,100,F32017,951.2552865234844,14.667970657348633
Sobol,6,"[(-100, 100)]",30,1000,100,F292017,5192830.453498118,60.21636724472046
HDS,6,"[(-100, 100)]",100,1000,100,F32017,7279.83327484371,16.422528982162476
HDS,6,"[(-100, 100)]",10,1000,100,F42017,431.2512208098437,13.897232055664062
HDS,6,"[(-100, 100)]",30,1000,100,F42017,747.2892549250785,14.520785093307495
Sobol,6,"[(-100, 100)]",10,1000,100,F42017,433.5549833669764,13.73559594154358
Sobol,6,"[(-100, 100)]",100,1000,100,F32017,9906.891470252473,15.338181972503662
Sobol,6,"[(-100, 100)]",30,1000,100,F42017,742.7686395222295,14.380150079727173
HDS,6,"[(-100, 100)]",10,1000,100,F52017,500.0022060910255,0.3800950050354004
Sobol,6,"[(-100, 100)]",10,1000,100,F52017,500.00771048959257,0.1922938823699951
HDS,6,"[(-100, 100)]",30,1000,100,F52017,500.0364143713588,0.6255700588226318
Sobol,6,"[(-100, 100)]",30,1000,100,F52017,500.0793697601758,0.3293397426605224
HDS,6,"[(-100, 100)]",50,1000,100,F42017,3745.420116018088,14.899585008621216
HDS,6,"[(-100, 100)]",50,1000,100,F52017,500.05144943362586,0.9258639812469482
HDS,6,"[(-100, 100)]",100,1000,100,F282017,10760327902.987871,245.33512091636655
Sobol,6,"[(-100, 100)]",50,1000,100,F52017,500.0915841557388,0.4178211688995361
HDS,6,"[(-100, 100)]",100,1000,100,F52017,500.09494751211474,1.796785831451416
HDS,6,"[(-100, 100)]",100,1000,100,F42017,44679.39918104053,16.480878114700317
Sobol,6,"[(-100, 100)]",100,1000,100,F52017,500.1439331448424,0.6628386974334717
HDS,6,"[(-100, 100)]",100,1000,100,F292017,16654011602.784094,113.9908049106598
Sobol,6,"[(-100, 100)]",100,1000,100,F272017,4235.940936166668,160.55706787109375
Sobol,6,"[(-100, 100)]",50,1000,100,F292017,1562046078.549506,74.97152781486511
Sobol,6,"[(-100, 100)]",50,1000,100,F42017,2000.226191117792,14.754940271377563
Sobol,6,"[(-100, 100)]",100,1000,100,F42017,34390.825215416175,15.120867013931274
HDS,6,"[(-100, 100)]",10,1000,100,F62017,648.284357078702,16.323610067367554
HDS,6,"[(-100, 100)]",30,1000,100,F62017,1799.5417042871372,16.905916929244995
HDS,6,"[(-100, 100)]",50,1000,100,F62017,59015.22254732357,16.84488821029663
HDS,6,"[(-100, 100)]",100,1000,100,F62017,331323.55264728353,18.472084999084476
Sobol,6,"[(-100, 100)]",10,1000,100,F62017,641.0922062521961,16.275815963745117
HDS,6,"[(-100, 100)]",10,1000,100,F72017,727.0210150309211,19.98270320892334
Sobol,6,"[(-100, 100)]",50,1000,100,F282017,105144841.18695028,145.94446516036987
Sobol,6,"[(-100, 100)]",30,1000,100,F62017,2118.219530626927,17.146955013275146
Sobol,6,"[(-100, 100)]",50,1000,100,F62017,49020.2623914446,16.899620056152344
HDS,6,"[(-100, 100)]",10,1000,100,F82017,801.8282458693466,1.04323410987854
Sobol,6,"[(-100, 100)]",10,1000,100,F82017,801.98904355683,1.0116121768951416
Sobol,6,"[(-100, 100)]",100,1000,100,F62017,964765.430821358,18.29430294036865
HDS,6,"[(-100, 100)]",30,1000,100,F82017,808.8336494878296,5.264330148696899
Sobol,6,"[(-100, 100)]",30,1000,100,F82017,810.2043068298176,3.807196855545044
HDS,6,"[(-100, 100)]",30,1000,100,F72017,1101.4607464512724,21.37515115737915
Sobol,6,"[(-100, 100)]",10,1000,100,F72017,748.0,20.69771695137024
HDS,6,"[(-100, 100)]",50,1000,100,F72017,1682.5316695633878,21.63187289237976
HDS,6,"[(-100, 100)]",50,1000,100,F82017,818.6374068356798,12.30062699317932
HDS,6,"[(-100, 100)]",100,1000,100,F72017,3265.7524439988865,23.380917072296143
HDS,6,"[(-100, 100)]",100,1000,100,F82017,904.2258603698666,18.326048374176025
Sobol,6,"[(-100, 100)]",30,1000,100,F72017,1151.6847798431857,20.30569720268249
Sobol,6,"[(-100, 100)]",50,1000,100,F82017,818.8007503373378,14.402383089065552
HDS,6,"[(-100, 100)]",10,1000,100,F92017,-1218.6937691690391,19.68164587020874
Sobol,6,"[(-100, 100)]",50,1000,100,F72017,1581.1440083187676,20.61613607406616
Sobol,6,"[(-100, 100)]",100,1000,100,F72017,3069.5892277480425,21.64314293861389
Sobol,6,"[(-100, 100)]",100,1000,100,F82017,847.7042507540385,17.09097123146057
HDS,6,"[(-100, 100)]",30,1000,100,F92017,3399.284040586233,20.259269952774048
Sobol,6,"[(-100, 100)]",10,1000,100,F92017,-1553.1335646521056,19.413084983825684
HDS,6,"[(-100, 100)]",50,1000,100,F92017,8356.285379105066,22.22794795036316
HDS,7,"[(-100, 100)]",10,1000,100,F102017,1066.258928766394,17.753623008728027
HDS,6,"[(-100, 100)]",100,1000,100,F92017,23591.02250288756,22.94078016281128
HDS,7,"[(-100, 100)]",30,1000,100,F102017,85193.37948507359,17.546306848526
HDS,7,"[(-100, 100)]",50,1000,100,F102017,187000.12692696787,19.085917949676517
Sobol,6,"[(-100, 100)]",30,1000,100,F92017,3463.5665521819865,20.326339960098267
Sobol,6,"[(-100, 100)]",50,1000,100,F92017,8651.703390743909,21.39425301551819
Sobol,7,"[(-100, 100)]",10,1000,100,F102017,1056.3513297787715,17.27544403076172
Sobol,6,"[(-100, 100)]",100,1000,100,F292017,17317133720.766117,115.8796329498291
Sobol,7,"[(-100, 100)]",30,1000,100,F102017,74912.72461276816,17.296931743621826
Sobol,6,"[(-100, 100)]",100,1000,100,F92017,25786.08021663604,21.674382209777832
Sobol,7,"[(-100, 100)]",50,1000,100,F102017,231213.09987056625,18.205941915512085
HDS,7,"[(-100, 100)]",100,1000,100,F102017,1281211.262269476,19.20873975753784
HDS,7,"[(-100, 100)]",10,1000,100,F12017,5193.428246318099,13.858731985092165
HDS,7,"[(-100, 100)]",10,1000,100,F112017,260660.5503296014,22.087544202804565
HDS,7,"[(-100, 100)]",30,1000,100,F112017,37780847.78316012,22.212241888046265
HDS,7,"[(-100, 100)]",50,1000,100,F112017,239818850.4540614,22.274428129196167
HDS,7,"[(-100, 100)]",30,1000,100,F12017,51451522.48199688,14.757820129394531
HDS,7,"[(-100, 100)]",100,1000,100,F112017,5773915133.725943,23.53507089614868
Sobol,7,"[(-100, 100)]",100,1000,100,F102017,2923157.208655762,17.98941421508789
Sobol,7,"[(-100, 100)]",10,1000,100,F12017,16406.865326326413,13.5847589969635
Sobol,7,"[(-100, 100)]",30,1000,100,F12017,4279373.791305458,15.642213106155396
Sobol,7,"[(-100, 100)]",10,1000,100,F112017,56043.09083527609,23.063225984573364
Sobol,7,"[(-100, 100)]",30,1000,100,F112017,42929211.0734484,22.68455219268799
Sobol,7,"[(-100, 100)]",50,1000,100,F112017,195460787.54834017,22.725233793258667
HDS,7,"[(-100, 100)]",50,1000,100,F12017,1363219090.331156,15.314618110656738
HDS,7,"[(-100, 100)]",100,1000,100,F12017,51018985549.37298,16.491639137268066
Sobol,7,"[(-100, 100)]",100,1000,100,F112017,5203864578.739443,23.1143810749054
Sobol,7,"[(-100, 100)]",50,1000,100,F12017,2030724743.4801917,14.034569025039673
HDS,7,"[(-100, 100)]",10,1000,100,F122017,1395.7392541182314,19.21266293525696
HDS,7,"[(-100, 100)]",30,1000,100,F122017,1426092.6531781768,19.488290071487427
Sobol,7,"[(-100, 100)]",100,1000,100,F12017,21601900326.49658,14.274155139923096
HDS,7,"[(-100, 100)]",50,1000,100,F122017,36027608.30192651,19.253626823425293
HDS,7,"[(-100, 100)]",100,1000,100,F122017,2679330864.8593583,20.08327794075012
HDS,7,"[(-100, 100)]",10,1000,100,F132017,1410.79167921714,17.990384101867676
Sobol,7,"[(-100, 100)]",10,1000,100,F122017,1849.013996370812,18.74332308769226
HDS,7,"[(-100, 100)]",30,1000,100,F132017,245124.57346964852,19.69089412689209
Sobol,7,"[(-100, 100)]",30,1000,100,F122017,1529121.463118334,19.021832942962646
Sobol,7,"[(-100, 100)]",50,1000,100,F122017,18307848.760402493,18.559066772460938
HDS,7,"[(-100, 100)]",50,1000,100,F132017,2068461.8290930688,20.920764923095703
Sobol,7,"[(-100, 100)]",100,1000,100,F122017,8606277815.32107,18.74475789070129
Sobol,7,"[(-100, 100)]",10,1000,100,F132017,1369.2060024391496,18.107277154922485
Sobol,7,"[(-100, 100)]",30,1000,100,F132017,362042.12172857777,19.60408306121826
HDS,7,"[(-100, 100)]",10,1000,100,F142017,1657.3790603813727,19.1333281993866
HDS,7,"[(-100, 100)]",30,1000,100,F142017,325124.7163285945,18.678634881973267
HDS,7,"[(-100, 100)]",50,1000,100,F142017,5322528.91702177,19.017635107040405
HDS,7,"[(-100, 100)]",100,1000,100,F132017,41289308.69670384,25.448489904403687
Sobol,7,"[(-100, 100)]",50,1000,100,F132017,2395203.666439159,20.89855480194092
HDS,7,"[(-100, 100)]",100,1000,100,F142017,630568970.7181469,19.898438215255737
Sobol,7,"[(-100, 100)]",10,1000,100,F142017,1625.4956501973506,19.180949926376343
Sobol,7,"[(-100, 100)]",30,1000,100,F142017,868403.6508443888,18.692317962646484
Sobol,7,"[(-100, 100)]",50,1000,100,F142017,5948805.094725404,18.97396278381348
Sobol,7,"[(-100, 100)]",100,1000,100,F142017,412552075.57468617,18.754138946533203
HDS,7,"[(-100, 100)]",10,1000,100,F152017,1362.289845480114,26.347312927246094
Sobol,6,"[(-100, 100)]",100,1000,100,F282017,4831869078.668239,252.52574372291565
Sobol,7,"[(-100, 100)]",100,1000,100,F132017,24871395.92978502,24.5458779335022
HDS,7,"[(-100, 100)]",30,1000,100,F152017,1924.24952727985,32.11091494560242
Sobol,7,"[(-100, 100)]",10,1000,100,F152017,1337.9428960967675,21.24391484260559
HDS,7,"[(-100, 100)]",50,1000,100,F152017,11827.0238866491,37.295175075531006
HDS,7,"[(-100, 100)]",10,1000,100,F162017,1495.0634649195724,43.2453887462616
HDS,7,"[(-100, 100)]",10,1000,100,F172017,,20.26039695739746
Sobol,7,"[(-100, 100)]",30,1000,100,F152017,4696.4517373616245,31.28078413009644
HDS,7,"[(-100, 100)]",100,1000,100,F152017,74904.57319121959,51.53487992286682
Sobol,7,"[(-100, 100)]",10,1000,100,F172017,,20.367926120758057
HDS,7,"[(-100, 100)]",30,1000,100,F172017,73365.99496785729,20.19468188285828
Sobol,7,"[(-100, 100)]",50,1000,100,F152017,7412.714223971077,36.79287505149841
HDS,7,"[(-100, 100)]",30,1000,100,F162017,62559.29144920512,78.48155188560486
Sobol,7,"[(-100, 100)]",30,1000,100,F172017,126944.91710907908,19.67455005645752
HDS,7,"[(-100, 100)]",50,1000,100,F172017,1027081.6709266852,20.34941601753235
Sobol,7,"[(-100, 100)]",10,1000,100,F162017,1877.2740705325884,42.96690201759338
HDS,7,"[(-100, 100)]",100,1000,100,F172017,21113348.268793005,22.04654598236084
Sobol,7,"[(-100, 100)]",100,1000,100,F152017,279349.46078356943,49.73010921478272
HDS,7,"[(-100, 100)]",10,1000,100,F182017,1811.3278400882768,20.28116798400879
Sobol,7,"[(-100, 100)]",50,1000,100,F172017,1611908.3740746449,20.09417605400085
Sobol,7,"[(-100, 100)]",100,1000,100,F172017,19021556.97748948,20.972748041152958
HDS,7,"[(-100, 100)]",50,1000,100,F162017,100320424.66406173,113.7323489189148
Sobol,7,"[(-100, 100)]",10,1000,100,F182017,1811.6246306556384,20.112058877944943
HDS,7,"[(-100, 100)]",30,1000,100,F182017,254185.6951760786,44.76173686981201
Sobol,7,"[(-100, 100)]",30,1000,100,F162017,65891.70757935128,76.56490015983582
HDS,7,"[(-100, 100)]",10,1000,100,F192017,1837.5399611225396,43.25889992713928
HDS,7,"[(-100, 100)]",50,1000,100,F182017,2022085.577845052,60.12997889518738
Sobol,7,"[(-100, 100)]",30,1000,100,F182017,564267.8678629824,44.43552589416504
Sobol,7,"[(-100, 100)]",10,1000,100,F192017,1835.1358526171375,42.74917888641357
HDS,7,"[(-100, 100)]",100,1000,100,F182017,1667205488.6890762,98.03603100776672
HDS,7,"[(-100, 100)]",30,1000,100,F192017,2437.3474610022804,78.76178503036499
HDS,7,"[(-100, 100)]",10,1000,100,F202017,2135.247121903328,9.364715576171877
HDS,7,"[(-100, 100)]",100,1000,100,F162017,162252847286.1794,203.69659304618835
Sobol,7,"[(-100, 100)]",10,1000,100,F202017,2133.239170287913,8.288617134094238
Sobol,7,"[(-100, 100)]",50,1000,100,F182017,10690782.1976737,59.20969319343567
Sobol,7,"[(-100, 100)]",50,1000,100,F162017,523244824.8686896,113.37238788604736
HDS,7,"[(-100, 100)]",30,1000,100,F202017,2531.292014739962,23.668763160705566
HDS,7,"[(-100, 100)]",50,1000,100,F202017,3740.588518662385,24.22398996353149
HDS,7,"[(-100, 100)]",100,1000,100,F202017,28918.41533615456,25.976967811584476
Sobol,7,"[(-100, 100)]",30,1000,100,F202017,2658.243167468565,23.105244159698486
Sobol,7,"[(-100, 100)]",50,1000,100,F202017,3370.4164795902825,23.01535105705261
HDS,7,"[(-100, 100)]",10,1000,100,F212017,2218.3391975981585,2.4860990047454834
HDS,7,"[(-100, 100)]",50,1000,100,F192017,2716.913784938459,114.40694785118104
Sobol,7,"[(-100, 100)]",30,1000,100,F192017,2479.6552033375165,78.57540202140808
Sobol,7,"[(-100, 100)]",100,1000,100,F202017,28795.39905415759,25.072169303894043
HDS,7,"[(-100, 100)]",30,1000,100,F212017,2289.090569792307,27.22786116600037
Sobol,7,"[(-100, 100)]",10,1000,100,F212017,181.49922703409695,27.393150091171265
Sobol,7,"[(-100, 100)]",100,1000,100,F182017,285100274.29552555,97.04462385177612
HDS,7,"[(-100, 100)]",10,1000,100,F22017,200.34579334188803,11.627404928207396
HDS,7,"[(-100, 100)]",50,1000,100,F212017,2480.198332500994,28.115967988967896
HDS,7,"[(-100, 100)]",100,1000,100,F212017,2906.187662778524,30.08871102333069
HDS,7,"[(-100, 100)]",30,1000,100,F22017,15530.460193633582,14.3160297870636
Sobol,7,"[(-100, 100)]",30,1000,100,F212017,2300.287954363336,27.105324029922485
Sobol,7,"[(-100, 100)]",10,1000,100,F22017,212.98058801432285,14.938815116882324
Sobol,7,"[(-100, 100)]",30,1000,100,F22017,25165.744889990685,14.039302825927734
HDS,7,"[(-100, 100)]",50,1000,100,F22017,70850.52898712715,14.813075304031372
HDS,7,"[(-100, 100)]",100,1000,100,F22017,284130.1896544884,15.746394157409668
Sobol,7,"[(-100, 100)]",50,1000,100,F212017,2446.9469182290254,27.323311805725098
HDS,7,"[(-100, 100)]",10,1000,100,F222017,2391.562792798676,10.737061977386476
Sobol,7,"[(-100, 100)]",100,1000,100,F212017,3438.862158574963,29.525472164154053
Sobol,7,"[(-100, 100)]",50,1000,100,F22017,88650.77674462703,14.186165809631348
Sobol,7,"[(-100, 100)]",100,1000,100,F22017,281786.16499352205,14.964131116867064
Sobol,7,"[(-100, 100)]",10,1000,100,F222017,2361.518450047875,12.838480949401855
HDS,7,"[(-100, 100)]",10,1000,100,F232017,2664.6740007681165,8.153425931930542
HDS,7,"[(-100, 100)]",30,1000,100,F222017,3207.488406685612,30.27866816520691
Sobol,7,"[(-100, 100)]",10,1000,100,F232017,2540.216184280232,9.951105117797852
HDS,7,"[(-100, 100)]",50,1000,100,F222017,13600.97059265891,31.543224096298218
HDS,7,"[(-100, 100)]",30,1000,100,F232017,2813.72584285189,25.798025846481323
HDS,7,"[(-100, 100)]",100,1000,100,F222017,42894.35849260181,34.68742918968201
Sobol,7,"[(-100, 100)]",50,1000,100,F192017,2654.3391877520085,114.0006799697876
HDS,7,"[(-100, 100)]",100,1000,100,F192017,5654.6246442978045,211.16694021224976
HDS,7,"[(-100, 100)]",50,1000,100,F232017,5652.76409920327,26.01277804374695
Sobol,7,"[(-100, 100)]",30,1000,100,F222017,3346.885048165921,29.95003914833069
Sobol,7,"[(-100, 100)]",30,1000,100,F232017,2827.57814102143,25.69774889945984
Sobol,7,"[(-100, 100)]",50,1000,100,F222017,11696.302904705812,30.819417238235477
HDS,7,"[(-100, 100)]",10,1000,100,F242017,2912.470261239669,9.867815017700195
Sobol,7,"[(-100, 100)]",100,1000,100,F162017,48429967464.55974,202.27767610549927
HDS,7,"[(-100, 100)]",100,1000,100,F232017,59238.01934882072,29.488663911819454
Sobol,7,"[(-100, 100)]",100,1000,100,F222017,38004.209016002846,33.4954891204834
Sobol,7,"[(-100, 100)]",10,1000,100,F242017,2885.7479160920298,11.31487488746643
Sobol,7,"[(-100, 100)]",50,1000,100,F232017,8726.733318767965,26.12602400779724
HDS,7,"[(-100, 100)]",30,1000,100,F242017,2872.678746609324,26.939055919647217
HDS,7,"[(-100, 100)]",50,1000,100,F242017,4229.030403875973,27.96150374412537
HDS,7,"[(-100, 100)]",10,1000,100,F252017,2504.3019082847327,20.960662126541138
Sobol,7,"[(-100, 100)]",100,1000,100,F232017,47910.4118527744,27.93091583251953
HDS,7,"[(-100, 100)]",100,1000,100,F242017,7506.25351276536,30.898136138916016
Sobol,7,"[(-100, 100)]",10,1000,100,F252017,2981.710873510532,11.063229084014893
Sobol,7,"[(-100, 100)]",30,1000,100,F242017,2874.759347967961,23.563112258911133
Sobol,7,"[(-100, 100)]",50,1000,100,F242017,4197.04294228966,26.89609313011169
Sobol,7,"[(-100, 100)]",100,1000,100,F242017,8148.690342511791,29.05405688285828
HDS,7,"[(-100, 100)]",30,1000,100,F252017,3433.1825142706284,71.87011694908142
HDS,7,"[(-100, 100)]",10,1000,100,F262017,2844.867807168144,47.46887969970703
Sobol,7,"[(-100, 100)]",10,1000,100,F262017,3001.9443054210765,11.305734872817991
HDS,7,"[(-100, 100)]",10,1000,100,F272017,2809.8477551296514,8.394947052001953
HDS,7,"[(-100, 100)]",50,1000,100,F252017,5260.415813238444,98.68948101997375
Sobol,7,"[(-100, 100)]",10,1000,100,F272017,2829.8934089877603,11.835788011550903
HDS,7,"[(-100, 100)]",30,1000,100,F262017,3232.3408612947355,73.98884701728821
HDS,7,"[(-100, 100)]",50,1000,100,F262017,3855.44269258372,99.4706301689148
Sobol,7,"[(-100, 100)]",30,1000,100,F252017,3461.029705726773,71.35298037528992
Sobol,7,"[(-100, 100)]",100,1000,100,F192017,6058.243520753634,206.06002402305603
HDS,7,"[(-100, 100)]",30,1000,100,F272017,2939.181449759091,69.02187585830688
Sobol,7,"[(-100, 100)]",30,1000,100,F262017,3229.093045530135,73.50982236862183
HDS,7,"[(-100, 100)]",100,1000,100,F252017,20160.431251250448,164.5399088859558
Sobol,7,"[(-100, 100)]",50,1000,100,F252017,5975.443769774297,97.33574199676514
HDS,7,"[(-100, 100)]",100,1000,100,F262017,5310.47074386285,165.33300924301147
HDS,7,"[(-100, 100)]",50,1000,100,F272017,3270.258012613453,94.30134797096252
Sobol,7,"[(-100, 100)]",50,1000,100,F262017,3828.587286973955,99.53039693832396
Sobol,7,"[(-100, 100)]",30,1000,100,F272017,2905.7819039930523,67.80125904083252
HDS,7,"[(-100, 100)]",10,1000,100,F282017,4131.016708750507,64.8086290359497
